minbin	maxbin	mean	sd
0	0.025	-2.516960414	0.967015353
0.025	0.05	-2.45672241	0.725045061
0.05	0.075	-2.111077461	0.654806028
0.075	0.1	-1.855209264	0.628604169
0.1	0.125	-1.649514292	0.61222108
0.125	0.15	-1.472703032	0.598999348
0.15	0.175	-1.322858645	0.587131787
0.175	0.2	-1.188664035	0.573657322
0.2	0.225	-1.068953268	0.560043843
0.225	0.25	-0.962016845	0.550179189
0.25	0.275	-0.866930859	0.540892715
0.275	0.3	-0.780112263	0.533009518
0.3	0.325	-0.697831911	0.522466125
0.325	0.35	-0.623173127	0.516257252
0.35	0.375	-0.551691631	0.510615821
0.375	0.4	-0.484565535	0.506905654
0.4	0.425	-0.423432139	0.501987714
0.425	0.45	-0.356244277	0.499527419
0.45	0.475	-0.299709774	0.49747465
0.475	0.5	-0.23852563	0.495955087
0.5	0.525	-0.180578487	0.49601894
0.525	0.55	-0.116187673	0.495463077
0.55	0.575	-0.062380608	0.498198215
0.575	0.6	-0.000337914	0.497236555
0.6	0.625	0.060852917	0.501103304
0.625	0.65	0.121099718	0.502153155
0.65	0.675	0.188298745	0.505770926
0.675	0.7	0.257491084	0.508996766
0.7	0.725	0.329300479	0.514521112
0.725	0.75	0.40733622	0.524153379
0.75	0.775	0.491626561	0.532662502
0.775	0.8	0.588306359	0.541100383
0.8	0.825	0.682912038	0.548704411
0.825	0.85	0.791600911	0.567681514
0.85	0.875	0.909696158	0.581573176
0.875	0.9	1.059547297	0.60401385
0.9	0.925	1.213385353	0.627368826
0.925	0.95	1.424957072	0.668234445
0.95	0.975	1.683013585	0.748736701
0.975	1	1.774295821	1.187880977
