snp	daf	PSV	candidate	enrichment
51854	0.466667	1	0	0
52274	0.283333	1	0	0
53850	0.425000	1	0	0
54060	0.283333	1	1	0
54253	0.283333	1	1	0
54701	0.425000	1	0	0
57840	0.283333	1	1	0
57994	0.250000	1	0	0
58372	0.283333	1	1	0
58386	0.250000	1	0	0
58523	0.283333	1	1	0
61510	0.275000	1	1	0
61706	0.283333	1	1	0
61948	0.425000	1	0	0
62388	0.425000	1	0	0
63311	0.283333	1	0	0
63435	0.275000	1	1	0
63562	0.283333	1	0	0
63617	0.283333	1	0	0
64779	0.283333	1	0	0
65057	0.425000	1	0	0
65492	0.283333	1	1	0
65736	0.250000	1	0	0
65766	0.308333	1	0	0
66212	0.283333	1	1	0
66408	0.283333	1	1	0
66618	0.250000	1	0	0
66784	0.283333	1	1	0
66932	0.425000	1	0	0
67597	0.425000	1	0	0
67843	0.716667	1	0	0
68487	0.283333	1	0	0
68593	0.283333	1	0	0
68721	0.250000	1	0	0
69300	0.283333	1	1	0
69352	0.250000	1	0	0
69459	0.283333	1	0	0
69942	0.425000	1	0	0
70338	0.316667	1	0	0
71898	0.316667	1	0	0
72095	0.316667	1	0	0
73707	0.675000	1	0	0
74233	0.675000	1	0	0
74295	0.316667	1	0	0
74756	0.316667	1	0	0
74958	0.308333	1	0	0
75971	0.675000	1	0	0
76264	0.316667	1	0	0
76839	0.316667	1	0	0
76910	0.316667	1	0	0
77351	0.316667	1	0	0
78031	0.250000	1	0	0
78906	0.316667	1	0	0
79965	0.350000	1	0	0
80627	0.391667	1	0	0
80787	0.391667	1	0	0
81096	0.641667	1	0	0
81493	0.641667	1	0	0
81710	0.350000	1	0	0
81972	0.350000	1	0	0
82398	0.350000	1	0	0
83267	0.375000	1	0	0
83392	0.641667	1	0	0
84539	0.266667	1	0	0
85111	0.641667	1	0	0
85356	0.641667	1	0	0
86148	0.350000	1	0	0
86190	0.641667	1	0	0
86298	0.641667	1	0	0
86808	0.266667	1	0	0
87654	0.350000	1	0	0
87715	0.375000	1	0	0
87727	0.308333	1	0	0
88111	0.641667	1	0	0
89006	0.258333	1	0	0
89710	0.641667	1	0	0
90127	0.283333	1	0	0
90792	0.350000	1	0	0
90802	0.350000	1	0	0
91029	0.283333	1	0	0
91225	0.283333	1	0	0
93542	0.558333	1	0	0
93545	0.433333	1	0	0
93702	0.558333	1	0	0
94538	0.558333	1	0	0
94847	0.308333	1	0	0
95327	0.433333	1	0	0
95475	0.433333	1	0	0
95554	0.350000	1	0	0
96180	0.558333	1	0	0
96389	0.433333	1	0	0
96435	0.433333	1	0	0
96534	0.558333	1	0	0
96545	0.275000	1	0	0
96595	0.558333	1	0	0
98077	0.283333	1	0	0
98101	0.275000	1	0	0
99142	0.308333	1	0	0
99339	0.558333	1	0	0
99342	0.350000	1	0	0
99479	0.433333	1	0	0
99523	0.558333	1	0	0
99541	0.350000	1	0	0
100078	0.433333	1	0	0
100210	0.308333	1	0	0
100321	0.275000	1	0	0
100736	0.433333	1	0	0
100915	0.433333	1	0	0
102140	0.558333	1	0	0
102171	0.433333	1	0	0
102562	0.433333	1	0	0
102625	0.433333	1	0	0
102778	0.275000	1	0	0
102789	0.350000	1	0	0
102863	0.433333	1	0	0
102867	0.558333	1	0	0
103717	0.558333	1	0	0
103727	0.433333	1	0	0
104511	0.558333	1	0	0
104564	0.558333	1	0	0
104987	0.558333	1	0	0
105219	0.558333	1	0	0
106102	0.433333	1	0	0
106139	0.433333	1	0	0
107058	0.433333	1	0	0
107336	0.200000	1	1	0
107575	0.558333	1	0	0
107914	0.350000	1	0	0
107948	0.558333	1	0	0
108104	0.241667	1	0	0
108295	0.350000	1	1	0
108440	0.250000	1	0	0
109087	0.433333	1	0	0
109704	0.391667	1	0	0
109812	0.308333	1	0	0
110046	0.600000	1	0	0
110668	0.391667	1	0	0
111088	0.600000	1	0	0
112348	0.316667	1	0	0
112769	0.308333	1	1	0
113232	0.316667	1	0	0
113481	0.391667	1	0	0
113912	0.316667	1	0	0
114681	0.283333	1	0	0
115276	0.391667	1	0	0
115636	0.283333	1	0	0
115814	0.308333	1	1	0
115852	0.391667	1	0	0
115857	0.391667	1	0	0
116426	0.391667	1	0	0
116472	0.283333	1	0	0
116925	0.391667	1	0	0
117060	0.391667	1	0	0
117546	0.608333	1	0	0
117794	0.283333	1	0	0
117989	0.283333	1	0	0
118613	0.391667	1	0	0
118905	0.391667	1	0	0
119361	0.308333	1	0	0
119428	0.600000	1	0	0
119913	0.600000	1	0	0
120229	0.608333	1	0	0
121057	0.608333	1	0	0
121624	0.308333	1	1	0
121822	0.308333	1	1	0
121852	0.391667	1	0	0
122632	0.391667	1	0	0
123693	0.608333	1	0	0
124529	0.283333	1	0	0
125351	0.600000	1	0	0
125563	0.391667	1	0	0
125614	0.600000	1	0	0
126021	0.283333	1	0	0
126248	0.283333	1	0	0
126605	0.316667	1	0	0
127537	0.308333	1	1	0
128037	0.283333	1	0	0
128344	0.283333	1	0	0
129087	0.316667	1	0	0
130181	0.283333	1	0	0
130253	0.600000	1	0	0
130366	0.308333	1	1	0
130432	0.316667	1	0	0
131137	0.391667	1	1	0
131323	0.308333	1	1	0
132093	0.283333	1	0	0
132248	0.391667	1	1	0
132352	0.608333	1	0	0
133006	0.391667	1	1	0
133060	0.600000	1	0	0
133132	0.391667	1	1	0
133341	0.608333	1	0	0
133610	0.308333	1	1	0
133640	0.600000	1	0	0
134348	0.391667	1	0	0
135207	0.600000	1	0	0
135228	0.391667	1	1	0
135441	0.608333	1	0	0
136213	0.316667	1	0	0
138160	0.391667	1	0	0
138549	0.308333	1	1	0
138663	0.316667	1	0	0
138886	0.608333	1	0	0
139144	0.283333	1	0	0
139159	0.316667	1	0	0
139389	0.308333	1	1	0
139812	0.391667	1	0	0
140267	0.608333	1	0	0
141630	0.308333	1	0	0
142375	0.291667	1	0	0
142458	0.608333	1	0	0
142602	0.391667	1	0	0
143197	0.316667	1	0	0
143358	0.608333	1	0	0
143639	0.608333	1	0	0
144533	0.316667	1	0	0
144814	0.291667	1	0	0
145045	0.391667	1	0	0
145096	0.308333	1	0	0
145129	0.291667	1	0	0
145167	0.316667	1	0	0
145238	0.308333	1	0	0
146050	0.308333	1	0	0
146791	0.308333	1	0	0
146840	0.291667	1	0	0
146982	0.316667	1	0	0
147050	0.391667	1	0	0
147670	0.608333	1	0	0
147911	0.308333	1	0	0
147960	0.316667	1	0	0
148234	0.608333	1	0	0
149044	0.608333	1	0	0
149208	0.391667	1	0	0
149248	0.391667	1	0	0
149516	0.308333	1	0	0
150446	0.316667	1	0	0
150768	0.283333	1	0	0
152246	0.608333	1	0	0
152307	0.608333	1	0	0
152891	0.291667	1	0	0
153021	0.608333	1	0	0
153267	0.200000	1	0	0
153711	0.391667	1	0	0
153798	0.391667	1	0	0
153989	0.291667	1	0	0
154623	0.608333	1	0	0
155221	0.291667	1	0	0
155383	0.608333	1	0	0
155614	0.608333	1	0	0
156142	0.391667	1	0	0
156544	0.316667	1	0	0
156565	0.291667	1	0	0
156923	0.608333	1	0	0
156929	0.608333	1	0	0
156993	0.316667	1	0	0
157474	0.608333	1	0	0
157642	0.308333	1	0	0
159210	0.291667	1	0	0
159487	0.608333	1	0	0
159570	0.291667	1	0	0
159605	0.391667	1	0	0
159955	0.608333	1	0	0
160128	0.608333	1	0	0
160140	0.308333	1	0	0
160560	0.308333	1	0	0
160607	0.308333	1	0	0
160840	0.608333	1	0	0
161274	0.391667	1	0	0
161864	0.308333	1	0	0
163589	0.391667	1	0	0
164590	0.308333	1	0	0
165078	0.391667	1	0	0
165187	0.608333	1	0	0
165318	0.608333	1	0	0
165328	0.608333	1	0	0
165728	0.208333	1	0	0
166063	0.291667	1	0	0
166485	0.391667	1	0	0
166654	0.308333	1	1	0
166743	0.608333	1	0	0
166849	0.608333	1	0	0
167847	0.291667	1	0	0
168260	0.316667	1	0	0
169398	0.200000	1	0	0
169795	0.608333	1	0	0
170784	0.608333	1	0	0
171348	0.283333	1	0	0
172578	0.308333	1	0	0
172599	0.391667	1	0	0
173231	0.291667	1	0	0
173525	0.391667	1	0	0
174288	0.391667	1	0	0
174290	0.391667	1	0	0
175118	0.391667	1	0	0
175349	0.308333	1	0	0
175903	0.283333	1	0	0
176527	0.391667	1	0	0
176866	0.608333	1	0	0
177637	0.608333	1	0	0
177996	0.391667	1	0	0
178264	0.608333	1	0	0
178376	0.391667	1	0	0
178586	0.608333	1	0	0
178926	0.308333	1	0	0
180041	0.391667	1	0	0
181380	0.316667	1	0	0
181432	0.308333	1	1	0
181529	0.608333	1	0	0
181750	0.291667	1	0	0
181962	0.391667	1	0	0
182665	0.308333	1	1	0
182802	0.283333	1	0	0
182868	0.391667	1	1	0
182907	0.391667	1	1	0
183090	0.391667	1	1	0
183265	0.291667	1	0	0
184394	0.391667	1	0	0
184617	0.608333	1	0	0
184722	0.308333	1	1	0
185170	0.308333	1	1	0
185626	0.316667	1	0	0
185666	0.308333	1	1	0
185680	0.316667	1	0	0
185944	0.391667	1	1	0
186363	0.291667	1	0	0
186473	0.608333	1	0	0
186483	0.308333	1	1	0
186945	0.391667	1	0	0
187837	0.391667	1	0	0
189272	0.308333	1	1	0
189738	0.316667	1	0	0
190211	0.308333	1	1	0
190400	0.291667	1	0	0
190528	0.316667	1	0	0
191045	0.308333	1	1	0
191235	0.608333	1	0	0
