snp	daf	PSV	candidate	enrichment
51854	0.466667	0	0	0
52274	0.283333	0	0	0
53850	0.425000	0	0	0
54060	0.283333	0	1	0
54253	0.283333	0	1	0
51854	0.466667	0	0	0
52274	0.283333	0	0	0
53850	0.425000	0	0	0
54060	0.283333	0	1	0
54253	0.283333	0	1	0
51854	0.466667	0	0	0
52274	0.283333	0	0	0
53850	0.425000	0	0	0
54060	0.283333	0	1	0
54253	0.283333	0	1	0
51854	0.466667	1	0	0
52274	0.283333	1	0	0
53850	0.425000	1	0	0
54060	0.283333	1	1	0
54253	0.283333	1	1	0
51854	0.466667	1	0	0
52274	0.283333	1	0	0
53850	0.425000	1	0	0
54060	0.283333	1	1	0
54253	0.283333	1	1	0
51854	0.466667	1	0	0
52274	0.283333	1	0	0
53850	0.425000	1	0	0
54060	0.283333	1	1	0
54253	0.283333	1	1	0
51854	0.466667	1	0	0
52274	0.283333	1	0	0
53850	0.425000	1	0	0
54060	0.283333	1	1	0
54253	0.283333	1	1	0
51854	0.466667	1	0	0
52274	0.283333	1	0	0
53850	0.425000	1	0	0
54060	0.283333	1	1	0
54253	0.283333	1	1	0
